,LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%),State FIPS,County FIPS
0,CN0100100000000,1.0,1.0,"Autauga County, AL",10,25972.0,23688.0,2284.0,8.8,1.0,1.0
1,CN0100300000000,1.0,3.0,"Baldwin County, AL",10,84269.0,75943.0,8326.0,9.9,1.0,3.0
2,CN0100500000000,1.0,5.0,"Barbour County, AL",10,10307.0,9057.0,1250.0,12.1,1.0,5.0
3,CN0100700000000,1.0,7.0,"Bibb County, AL",10,9012.0,8000.0,1012.0,11.2,1.0,7.0
4,CN0100900000000,1.0,9.0,"Blount County, AL",10,25142.0,22706.0,2436.0,9.7,1.0,9.0
5,CN0101100000000,1.0,11.0,"Bullock County, AL",10,4983.0,4403.0,580.0,11.6,1.0,11.0
6,CN0101300000000,1.0,13.0,"Butler County, AL",10,9332.0,8086.0,1246.0,13.4,1.0,13.0
7,CN0101500000000,1.0,15.0,"Calhoun County, AL",10,52020.0,46200.0,5820.0,11.2,1.0,15.0
8,CN0101700000000,1.0,17.0,"Chambers County, AL",10,14860.0,12692.0,2168.0,14.6,1.0,17.0
9,CN0101900000000,1.0,19.0,"Cherokee County, AL",10,11565.0,10358.0,1207.0,10.4,1.0,19.0
10,CN0102100000000,1.0,21.0,"Chilton County, AL",10,19641.0,17655.0,1986.0,10.1,1.0,21.0
11,CN0102300000000,1.0,23.0,"Choctaw County, AL",10,4898.0,4262.0,636.0,13.0,1.0,23.0
12,CN0102500000000,1.0,25.0,"Clarke County, AL",10,9165.0,7380.0,1785.0,19.5,1.0,25.0
13,CN0102700000000,1.0,27.0,"Clay County, AL",10,5893.0,5060.0,833.0,14.1,1.0,27.0
14,CN0102900000000,1.0,29.0,"Cleburne County, AL",10,6088.0,5489.0,599.0,9.8,1.0,29.0
15,CN0103100000000,1.0,31.0,"Coffee County, AL",10,21282.0,19483.0,1799.0,8.5,1.0,31.0
16,CN0103300000000,1.0,33.0,"Colbert County, AL",10,24437.0,21688.0,2749.0,11.2,1.0,33.0
17,CN0103500000000,1.0,35.0,"Conecuh County, AL",10,5023.0,4176.0,847.0,16.9,1.0,35.0
18,CN0103700000000,1.0,37.0,"Coosa County, AL",10,4688.0,3981.0,707.0,15.1,1.0,37.0
19,CN0103900000000,1.0,39.0,"Covington County, AL",10,16570.0,14883.0,1687.0,10.2,1.0,39.0
20,CN0104100000000,1.0,41.0,"Crenshaw County, AL",10,6343.0,5707.0,636.0,10.0,1.0,41.0
21,CN0104300000000,1.0,43.0,"Cullman County, AL",10,36291.0,32554.0,3737.0,10.3,1.0,43.0
22,CN0104500000000,1.0,45.0,"Dale County, AL",10,22291.0,20345.0,1946.0,8.7,1.0,45.0
23,CN0104700000000,1.0,47.0,"Dallas County, AL",10,17933.0,14969.0,2964.0,16.5,1.0,47.0
24,CN0104900000000,1.0,49.0,"DeKalb County, AL",10,31183.0,27322.0,3861.0,12.4,1.0,49.0
25,CN0105100000000,1.0,51.0,"Elmore County, AL",10,37049.0,33728.0,3321.0,9.0,1.0,51.0
26,CN0105300000000,1.0,53.0,"Escambia County, AL",10,15129.0,13383.0,1746.0,11.5,1.0,53.0
27,CN0105500000000,1.0,55.0,"Etowah County, AL",10,44397.0,39623.0,4774.0,10.8,1.0,55.0
28,CN0105700000000,1.0,57.0,"Fayette County, AL",10,6885.0,6007.0,878.0,12.8,1.0,57.0
29,CN0105900000000,1.0,59.0,"Franklin County, AL",10,14374.0,12864.0,1510.0,10.5,1.0,59.0
30,CN0106100000000,1.0,61.0,"Geneva County, AL",10,11663.0,10476.0,1187.0,10.2,1.0,61.0
31,CN0106300000000,1.0,63.0,"Greene County, AL",10,3331.0,2765.0,566.0,17.0,1.0,63.0
32,CN0106500000000,1.0,65.0,"Hale County, AL",10,6494.0,5533.0,961.0,14.8,1.0,65.0
33,CN0106700000000,1.0,67.0,"Henry County, AL",10,7327.0,6539.0,788.0,10.8,1.0,67.0
34,CN0106900000000,1.0,69.0,"Houston County, AL",10,46864.0,42632.0,4232.0,9.0,1.0,69.0
35,CN0107100000000,1.0,71.0,"Jackson County, AL",10,24555.0,21702.0,2853.0,11.6,1.0,71.0
36,CN0107300000000,1.0,73.0,"Jefferson County, AL",10,321399.0,288762.0,32637.0,10.2,1.0,73.0
37,CN0107500000000,1.0,75.0,"Lamar County, AL",10,5846.0,5090.0,756.0,12.9,1.0,75.0
38,CN0107700000000,1.0,77.0,"Lauderdale County, AL",10,43996.0,39622.0,4374.0,9.9,1.0,77.0
39,CN0107900000000,1.0,79.0,"Lawrence County, AL",10,15019.0,13167.0,1852.0,12.3,1.0,79.0
40,CN0108100000000,1.0,81.0,"Lee County, AL",10,67417.0,61425.0,5992.0,8.9,1.0,81.0
41,CN0108300000000,1.0,83.0,"Limestone County, AL",10,38687.0,35005.0,3682.0,9.5,1.0,83.0
42,CN0108500000000,1.0,85.0,"Lowndes County, AL",10,4379.0,3586.0,793.0,18.1,1.0,85.0
43,CN0108700000000,1.0,87.0,"Macon County, AL",10,9004.0,7702.0,1302.0,14.5,1.0,87.0
44,CN0108900000000,1.0,89.0,"Madison County, AL",10,171414.0,157363.0,14051.0,8.2,1.0,89.0
45,CN0109100000000,1.0,91.0,"Marengo County, AL",10,8200.0,7098.0,1102.0,13.4,1.0,91.0
46,CN0109300000000,1.0,93.0,"Marion County, AL",10,13317.0,11549.0,1768.0,13.3,1.0,93.0
47,CN0109500000000,1.0,95.0,"Marshall County, AL",10,42047.0,38052.0,3995.0,9.5,1.0,95.0
48,CN0109700000000,1.0,97.0,"Mobile County, AL",10,194457.0,172817.0,21640.0,11.1,1.0,97.0
49,CN0109900000000,1.0,99.0,"Monroe County, AL",10,8767.0,7209.0,1558.0,17.8,1.0,99.0
50,CN0110100000000,1.0,101.0,"Montgomery County, AL",10,109808.0,98967.0,10841.0,9.9,1.0,101.0
